TStamp Australia/Sydney	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]
1487835230000	-37.814357	145.160823	123.700000	5.400000
1487835231000	-37.814357	145.160823	123.700000	5.400000
1487835232000	-37.814357	145.160823	123.700000	5.400000
1487835233000	-37.814357	145.160823	123.700000	5.400000
1487835234000	-37.814357	145.160823	123.700000	5.200000
1487835235000	-37.814357	145.160823	123.700000	5.300000
1487835236000	-37.814312	145.160808	123.500000	5.300000
1487835237000	-37.814313	145.160815	123.500000	5.400000
1487835238000	-37.814312	145.160813	123.500000	5.400000
1487835239000	-37.814307	145.160817	123.500000	5.400000
1487835240000	-37.814310	145.160818	123.400000	5.400000
1487835241000	-37.814310	145.160818	123.400000	5.400000
1487835242000	-37.814310	145.160818	123.400000	5.400000
1487835243000	-37.814310	145.160818	123.400000	5.400000
1487835244000	-37.814310	145.160818	123.400000	5.400000
1487835245000	-37.814310	145.160818	123.400000	5.400000
1487835246000	-37.814315	145.160810	123.300000	5.400000
1487835247000	-37.814317	145.160808	123.100000	5.400000
1487835248000	-37.814322	145.160807	123.100000	5.400000
1487835249000	-37.814325	145.160807	123.000000	5.400000
1487835250000	-37.814327	145.160805	122.900000	5.500000
1487835251000	-37.814335	145.160808	122.800000	5.500000
1487835252000	-37.814333	145.160808	122.600000	5.500000
1487835253000	-37.814338	145.160807	122.500000	5.500000
1487835254000	-37.814332	145.160798	122.400000	5.500000
1487835255000	-37.814332	145.160797	122.200000	5.500000
1487835256000	-37.814333	145.160795	122.000000	5.500000
1487835257000	-37.814332	145.160792	121.900000	5.500000
1487835258000	-37.814330	145.160783	121.800000	5.500000
1487835259000	-37.814330	145.160785	121.700000	5.500000
1487835260000	-37.814328	145.160783	121.600000	5.500000
1487835261000	-37.814327	145.160783	121.600000	5.500000
1487835262000	-37.814308	145.160788	121.700000	5.500000
1487835263000	-37.814310	145.160788	121.700000	5.500000
1487835264000	-37.814307	145.160790	121.700000	5.500000
1487835265000	-37.814307	145.160790	121.700000	5.500000
1487835266000	-37.814307	145.160790	121.700000	5.500000
1487835267000	-37.814307	145.160790	121.700000	5.500000
1487835268000	-37.814307	145.160790	121.700000	5.500000
1487835269000	-37.814307	145.160790	121.700000	5.500000
1487835270000	-37.814307	145.160790	121.700000	5.500000
1487835271000	-37.814307	145.160790	121.700000	5.500000
1487835272000	-37.814307	145.160790	121.700000	5.200000
1487835273000	-37.814307	145.160790	121.700000	5.300000
1487835274000	-37.814307	145.160790	121.700000	5.300000
1487835275000	-37.814307	145.160790	121.700000	5.300000
1487835276000	-37.814307	145.160790	121.700000	5.300000
1487835277000	-37.814307	145.160790	121.700000	5.300000
1487835278000	-37.814307	145.160790	121.700000	5.400000
1487835279000	-37.814307	145.160790	121.700000	5.400000
1487835280000	-37.814307	145.160790	121.700000	5.400000
1487835281000	-37.814307	145.160790	121.700000	5.400000
1487835282000	-37.814307	145.160790	121.700000	5.400000
1487835283000	-37.814307	145.160790	121.700000	5.400000
1487835284000	-37.814307	145.160790	121.700000	5.500000
1487835285000	-37.814307	145.160790	121.700000	5.500000
1487835286000	-37.814307	145.160790	121.700000	5.500000
1487835287000	-37.814307	145.160790	121.700000	5.500000
1487835288000	-37.814288	145.160767	121.500000	5.500000
1487835289000	-37.814283	145.160757	121.400000	5.500000
1487835290000	-37.814278	145.160747	121.400000	5.500000
1487835291000	-37.814270	145.160725	121.300000	5.500000
1487835292000	-37.814263	145.160720	121.300000	5.500000
1487835293000	-37.814262	145.160715	121.200000	5.500000
1487835294000	-37.814265	145.160708	121.200000	5.500000
1487835295000	-37.814267	145.160702	121.100000	5.500000
1487835296000	-37.814270	145.160698	121.100000	5.500000
1487835297000	-37.814273	145.160690	121.100000	5.500000
1487835298000	-37.814275	145.160688	121.100000	5.500000
1487835299000	-37.814275	145.160687	121.200000	5.500000
1487835300000	-37.814278	145.160685	121.200000	5.500000
1487835301000	-37.814277	145.160678	121.200000	5.500000
1487835302000	-37.814275	145.160675	121.300000	5.500000
1487835303000	-37.814275	145.160675	121.300000	5.500000
1487835304000	-37.814267	145.160668	121.700000	5.500000
1487835305000	-37.814260	145.160660	121.900000	5.500000
1487835306000	-37.814262	145.160662	122.000000	5.500000
1487835307000	-37.814260	145.160657	121.900000	5.500000
1487835308000	-37.814255	145.160652	122.000000	5.500000
1487835309000	-37.814255	145.160652	122.000000	5.500000
1487835310000	-37.814255	145.160652	122.000000	5.500000
1487835311000	-37.814255	145.160652	122.000000	5.200000
1487835312000	-37.814255	145.160652	122.000000	5.300000
1487835313000	-37.814255	145.160652	122.000000	5.300000
1487835314000	-37.814238	145.160658	122.200000	5.300000
1487835315000	-37.814242	145.160662	122.200000	5.400000
1487835316000	-37.814248	145.160665	122.200000	5.400000
1487835317000	-37.814258	145.160667	122.200000	5.400000
1487835318000	-37.814258	145.160667	122.200000	5.400000
1487835319000	-37.814258	145.160667	122.200000	5.400000
1487835320000	-37.814258	145.160667	122.200000	5.400000
1487835321000	-37.814258	145.160667	122.200000	5.500000
1487835322000	-37.814258	145.160667	122.200000	5.500000
1487835323000	-37.814258	145.160667	122.200000	5.500000
1487835324000	-37.814258	145.160667	122.200000	5.500000
1487835325000	-37.814258	145.160667	122.200000	5.500000
1487835326000	-37.814258	145.160667	122.200000	5.500000
1487835327000	-37.814262	145.160660	122.100000	5.500000
1487835328000	-37.814260	145.160662	122.000000	5.500000
1487835329000	-37.814260	145.160660	122.000000	5.500000
1487835330000	-37.814268	145.160668	121.900000	5.500000
1487835331000	-37.814265	145.160680	121.900000	5.500000
1487835332000	-37.814265	145.160680	121.900000	5.500000
1487835333000	-37.814265	145.160680	121.900000	5.500000
1487835334000	-37.814265	145.160680	121.900000	5.600000
1487835335000	-37.814293	145.160692	121.700000	5.500000
1487835336000	-37.814297	145.160685	121.700000	5.600000
1487835337000	-37.814298	145.160687	121.700000	5.600000
1487835338000	-37.814302	145.160688	121.600000	5.600000
1487835339000	-37.814308	145.160695	121.600000	5.600000
1487835340000	-37.814308	145.160693	121.600000	5.600000
1487835341000	-37.814303	145.160688	121.600000	5.600000
1487835342000	-37.814307	145.160695	121.600000	5.600000
1487835343000	-37.814303	145.160690	121.500000	5.600000
1487835344000	-37.814307	145.160690	121.500000	5.600000
1487835345000	-37.814313	145.160692	121.400000	5.600000
1487835346000	-37.814318	145.160697	121.400000	5.500000
1487835347000	-37.814325	145.160702	121.400000	5.500000
1487835348000	-37.814327	145.160705	121.300000	5.500000
1487835349000	-37.814317	145.160712	121.200000	5.500000
1487835350000	-37.814313	145.160715	121.100000	5.500000
1487835351000	-37.814310	145.160713	120.900000	5.500000
1487835352000	-37.814310	145.160713	120.900000	5.500000
1487835353000	-37.814310	145.160713	120.900000	5.500000
1487835354000	-37.814310	145.160713	120.900000	5.500000
1487835355000	-37.814310	145.160713	120.900000	5.500000
1487835356000	-37.814310	145.160713	120.900000	5.500000
1487835357000	-37.814310	145.160713	120.900000	5.500000
1487835358000	-37.814310	145.160713	120.900000	5.500000
1487835359000	-37.814310	145.160713	120.900000	5.500000
1487835360000	-37.814310	145.160713	120.900000	5.500000
1487835361000	-37.814310	145.160713	120.900000	5.500000
1487835362000	-37.814310	145.160713	120.900000	5.500000
1487835363000	-37.814310	145.160713	120.900000	5.500000
1487835364000	-37.814310	145.160713	120.900000	5.500000
